Date,Open,High,Low,Close,Adj Close,Volume
05/04/2019,5.37,5.4,5.31,5.36,5.36,18093400
08/04/2019,5.33,5.38,5.25,5.3,5.3,17349800
09/04/2019,5.28,5.28,5.06,5.08,5.08,32590100
10/04/2019,5.06,5.11,4.96,5.05,5.05,25958700
11/04/2019,5,5.09,4.97,5.01,5.01,17642600
12/04/2019,5.03,5.06,4.95,4.99,4.99,15561300
15/04/2019,4.99,5,4.72,4.75,4.75,27489100
16/04/2019,4.8,4.81,4.43,4.45,4.45,46354500
17/04/2019,4.61,4.72,4.51,4.59,4.59,30546400
18/04/2019,4.53,4.92,4.44,4.79,4.79,31206500
22/04/2019,4.74,4.81,4.62,4.78,4.78,12936700
23/04/2019,4.82,4.92,4.73,4.83,4.83,15107000
24/04/2019,4.79,5.01,4.75,5,5,20401300
25/04/2019,5.01,5.15,4.85,4.9,4.9,21552800
26/04/2019,4.85,4.93,4.77,4.92,4.92,11891300
29/04/2019,4.89,5.05,4.87,4.98,4.98,15202800
30/04/2019,4.98,5.08,4.8,4.85,4.85,14434600
01/05/2019,4.84,4.85,4.68,4.68,4.68,13308300
02/05/2019,4.74,4.75,4.57,4.72,4.72,14080400
03/05/2019,4.73,5.11,4.73,5.02,5.02,25245500
06/05/2019,4.72,4.88,4.69,4.88,4.88,16144400
07/05/2019,4.81,4.92,4.76,4.84,4.84,11545700
08/05/2019,4.79,4.81,4.56,4.57,4.57,20456900
09/05/2019,4.54,4.7,4.51,4.6,4.6,15759700
10/05/2019,4.6,4.66,4.51,4.56,4.56,17146500
13/05/2019,4.5,4.5,4.3,4.33,4.33,21804500
14/05/2019,4.47,4.67,4.41,4.67,4.67,27925700
15/05/2019,4.59,4.75,4.53,4.71,4.71,14669000
16/05/2019,4.65,4.85,4.61,4.66,4.66,16198000
17/05/2019,4.58,4.7,4.42,4.42,4.42,19775700
20/05/2019,4.38,4.4,4.11,4.25,4.25,23571700
21/05/2019,4.35,4.45,4.25,4.29,4.29,23435300
22/05/2019,4.25,4.3,4,4.05,4.05,35451300
23/05/2019,3.96,4.03,3.83,3.93,3.93,27855500
24/05/2019,3.98,4.05,3.81,3.86,3.86,25976900
28/05/2019,4.12,4.14,3.88,4,4,114474400
29/05/2019,3.89,3.9,3.6,3.61,3.61,41690400
30/05/2019,3.55,3.55,3.11,3.24,3.24,55942200
31/05/2019,3.07,3.15,3,3.05,3.05,39383300
03/06/2019,2.98,3.06,2.74,2.96,2.96,51793000
04/06/2019,3,3.11,2.97,3.04,3.04,30924000
05/06/2019,3.07,3.09,2.76,2.83,2.83,38179100
06/06/2019,2.9,2.9,2.54,2.65,2.65,54094300
07/06/2019,2.64,2.81,2.55,2.76,2.76,31397900
10/06/2019,2.75,2.82,2.59,2.63,2.63,35989100
11/06/2019,2.67,2.67,2.55,2.61,2.61,33070100
12/06/2019,2.62,2.62,2.5,2.55,2.55,30058600
13/06/2019,2.55,2.62,2.5,2.52,2.52,21962600
14/06/2019,2.44,2.45,2.35,2.42,2.42,27065700
